Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1724998113063031254,AbierReload,https://twitter.com/abierkhatib,2023-11-16,"Man, Zionists are terrifying people Their superiority complex is getting more violent everyday#Israel",,https://twitter.com/abierkhatib/status/1724998113063031254,False,97,578,909,36K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ghadaoueiss/status/1725268639379828889,Ghada Oueiss ???? ????Reload???? ??? ????? #???,https://twitter.com/ghadaoueiss,2023-11-16,WARNING:VERY DISTURBING contentyet VERY IMPORTANT to know what #Israel the child killer regime committed!,,https://twitter.com/ghadaoueiss/status/1725268639379828889,False,48,353,359,23K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/khanars0/status/1725403759822754066,?????????????? !!Reload,https://twitter.com/khanars0,2023-11-17,"Do everything but don't forget the oppression of Palestinians.They are still struggling  Today is Friday , Remember them in your prayers #AlShifaHospital #GazaGenocide #IsraelIsATerrorist #FreePalestineFromIsrael #Israel",,https://twitter.com/khanars0/status/1725403759822754066,False,11,88,116,9.6K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/100_alpha/status/1725224876389138913,Alpha100Reload,https://twitter.com/100_alpha,2023-11-16,When did #EU leaders lose their Humanity?Was it when:>#Israel cut supplies of food to 2+ MILLION people in #Gaza?>Fuel ran out for INCUBATORS keeping BABIES ALIVE?>Death toll exceeded 11000 inc 5000 CHILDREN?How can EU's despicable response to slaughter in Gaza be explained?,,https://twitter.com/100_alpha/status/1725224876389138913,False,105,968,1K,27K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ME_Observer_/status/1725256654965682253,Middle East ObserverReload,https://twitter.com/ME_Observer_,2023-11-16,"Israeli TV presenter Shai Golden threatens #Lebanon, #Iran, Arabs and the world. He's taking pride in the massacres committed by #Israel and promising Lebanon to commit never seen before massacres on civilians , and threatens Americans from intervening to stop their madness.",,https://twitter.com/ME_Observer_/status/1725256654965682253,False,79,453,415,34K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/nazanin7/status/1725179456677875807,NazaninReload,https://twitter.com/nazanin7,2023-11-16,An elderly gentleman wearing #Israel flag was kicked out of a mosque in Toronto using police force while he wasn't doing anything to bother anyone!This is the true face of #Islam not what you see in mainstream media.Muslims have ZERO tolerance for the slightest diversion from…,,https://twitter.com/nazanin7/status/1725179456677875807,False,21,17,73,8.8K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/QudsNen/status/1725154812289851556,Quds News Network,https://twitter.com/QudsNen,2023-11-16,"The occupation army takes a photo inside Al-Shifa Hospital in #Gaza as a sign of ""Victory"".The Israeli army was criticized for targeting only civilian targets and was accused of compensating for its minor military achievement in battles by targeting civilians. #Israel",https://pbs.twimg.com/media/F_D67vXXwAAzSjY?format=jpg&name=small,https://twitter.com/QudsNen/status/1725154812289851556,False,449,1.8K,2.6K,126K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ghadaoueiss/status/1725183283762282529,Ghada Oueiss ???? ????Reload,https://twitter.com/ghadaoueiss,2023-11-16,#Israel 's arrest of this Palestinian old woman is an outrage to humanity !!,,https://twitter.com/ghadaoueiss/status/1725183283762282529,False,63,667,827,28K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/HananyaNaftali/status/1724819913938702574,Hananya NaftaliReload,https://twitter.com/HananyaNaftali,2023-11-15,What a beautiful sight. God bless the Israeli Air Force  #Israel,,https://twitter.com/HananyaNaftali/status/1724819913938702574,False,768,928,5.2K,98K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1724916464795152645,AbierReload,https://twitter.com/abierkhatib,2023-11-15,Do you wanna see a Jewish woman rip apart a Zionist congressman ? I think she destroyed him forever.. and I love her for it Wow…. #Israel,,https://twitter.com/abierkhatib/status/1724916464795152645,False,389,4.8K,10K,710K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/news_australian/status/1725428758197510565,Australian News,https://twitter.com/news_australian,2023-11-17,Rumors are circulating that the Israeli government orchestrated or let the October 7th Hamas attack happen as a false flag attack to give Israel the excuse it needs to destroy Gaza once and for all. Do you believe that is possible?#Israel #IsraelHamasWar #Gaza #auspol,https://pbs.twimg.com/media/F_H0T2FaoAAlyty?format=jpg&name=small,https://twitter.com/news_australian/status/1725428758197510565,False,143,41,72,3.4K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/KimJongwins/status/1725438436054540555,KimJongWinsReload,https://twitter.com/KimJongwins,2023-11-17,The Israeli occupation army forces medical crews to evacuate the emergency department at Ebn Sens hospital in Jenin city at gunpoint. #Israel,,https://twitter.com/KimJongwins/status/1725438436054540555,False,1,1,2,76
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/H74ello5/status/1725336084563771735,????? ???? ??????Reload,https://twitter.com/H74ello5,2023-11-17,"Disgusting scene, an Israeli soldier steals the bicycle of a little Palestinian girl and then throws it in a bush#Israel #Hamas #Palestine #Gaza#IsraelTerrorism #IsraelIsATerrorist#MissUniverse2023#AlShifaHospital #podcastandchill#ViratKohli??#ViratKohli#bbcqt",,https://twitter.com/H74ello5/status/1725336084563771735,False,17,124,123,24K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/ahaaew/status/1725108617446089080,????????Reload,https://twitter.com/ahaaew,2023-11-16,"The commander of the Zionist army shows one thing, @FoxNews reporter shows another thing in the same scene It is not staged at all ?!!!!! #???_????? #Gaza #??????_?????? #Israel #IsraelIsATerrorist #IsraelIsATerrorist #IsraeliTerrorists #PalestineGenocide",,https://twitter.com/ahaaew/status/1725108617446089080,False,5,66,63,10K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/BradSherman/status/1724969356373737481,Congressman Brad ShermanMelanie Zanona,https://twitter.com/BradSherman,2023-11-16,"Was just evacuated from the #DNC after pro-terrorist, anti-#Israel protestors grew violent, pepper spraying police officers and attempting to break into the building.Thankful to the police officers who stopped them and for helping me and my colleagues get out safely. (1/2)",,https://twitter.com/BradSherman/status/1724969356373737481,False,4K,2.6K,6.1K,5.1M
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/jebren_/status/1725213098104037499,Jebren ?????Reload,https://twitter.com/jebren_,2023-11-16,This is how it started !#US = #Israel #SameSame #lettertoamerica,,https://twitter.com/jebren_/status/1725213098104037499,False,10,82,116,9.5K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/skaueller/status/1725144293914882248,Sarah Reload,https://twitter.com/skaueller,2023-11-16,True Story#Palestine #Israel,,https://twitter.com/skaueller/status/1725144293914882248,False,1,48,77,5.7K
TopPost,#israel,https://twitter.com/search?q=#israel&src=typed_query&f=top,https://twitter.com/shaani092/status/1725348495454806270,Zeeshan Akram PTIReload,https://twitter.com/shaani092,2023-11-17,"This Palestinian girl is crying in front of Israeli police to release her 10 year-old brother, Seeing this scene broke my heart #GazaGenocide #Israel #Hamas",,https://twitter.com/shaani092/status/1725348495454806270,False,23,94,94,22K
